Time(s),Force
0.0,8.477493286132812
0.04,8.488223266601562
0.08,8.498953247070311
0.12,8.509683227539062
0.16,8.520413208007811
0.2,8.53114318847656
0.24,8.523478698730466
0.28,8.515814208984374
0.32,8.50814971923828
0.36,8.500485229492186
0.4,8.492820739746092
0.44,8.572026062011718
0.48,8.651231384277343
0.52,8.730436706542967
0.56,8.809642028808593
0.6,8.888847351074219
0.64,8.968052673339844
0.68,9.04725799560547
0.72,9.126463317871094
0.76,9.20566864013672
0.8,9.284873962402346
0.84,9.360501098632813
0.88,9.436128234863283
0.92,9.51175537109375
0.96,9.58738250732422
1.0,9.663009643554688
1.04,9.726884460449218
1.08,9.79075927734375
1.12,9.854634094238282
1.16,9.918508911132813
1.2,9.982383728027344
1.24,10.025818634033204
1.28,10.069253540039062
1.32,10.112688446044922
1.36,10.15612335205078
1.4000000000000001,10.19955825805664
1.44,10.2429931640625
1.48,10.286428070068359
1.52,10.329862976074219
1.56,10.373297882080077
1.6,10.416732788085938
1.6400000000000001,10.392205810546875
1.68,10.367678833007812
1.72,10.343151855468749
1.76,10.318624877929686
1.8,10.294097900390623
1.84,10.261393737792968
1.8800000000000001,10.228689575195311
1.92,10.195985412597656
1.96,10.163281249999999
2.0,10.130577087402344
2.04,10.039108276367188
2.08,9.947639465332031
2.12,9.856170654296873
2.16,9.764701843261717
2.2,9.67323303222656
2.24,9.361012268066405
2.2800000000000002,9.04879150390625
2.32,8.736570739746092
2.36,8.424349975585937
2.4,8.112129211425781
2.44,7.726322937011719
2.48,7.340516662597656
2.52,6.954710388183594
2.56,6.568904113769531
2.6,6.183097839355469
2.64,6.0280097961425785
2.68,5.872921752929687
2.72,5.717833709716797
2.7600000000000002,5.562745666503906
2.8000000000000003,5.407657623291016
2.84,5.252569580078125
2.88,5.097481536865234
2.92,4.942393493652344
2.96,4.787305450439453
3.0,4.6322174072265625
3.04,4.693536376953125
3.08,4.754855346679688
3.12,4.81617431640625
3.16,4.877493286132813
3.2,4.938812255859375
3.24,4.9158172607421875
3.2800000000000002,4.892822265625
3.3200000000000003,4.8698272705078125
3.36,4.846832275390625
3.4,4.8238372802734375
3.44,5.07320556640625
3.48,5.322573852539063
3.52,5.571942138671875
3.56,5.821310424804688
3.6,6.0706787109375
3.64,6.182077026367187
3.68,6.293475341796875
3.72,6.404873657226562
3.7600000000000002,6.51627197265625
3.8000000000000003,6.6276702880859375
3.84,6.739068603515625
3.88,6.850466918945313
3.92,6.961865234375
3.96,7.073263549804688
4.0,7.184661865234375
4.04,7.162689208984375
4.08,7.140716552734375
4.12,7.118743896484375
4.16,7.096771240234375
4.2,7.074798583984375
4.24,7.052314758300781
4.28,7.0298309326171875
4.32,7.007347106933594
4.36,6.98486328125
4.4,6.962379455566406
4.44,6.9158782958984375
4.48,6.869377136230469
4.5200000000000005,6.8228759765625
4.5600000000000005,6.776374816894531
4.6000000000000005,6.7298736572265625
4.64,6.683372497558595
4.68,6.636871337890626
4.72,6.590370178222657
4.76,6.543869018554688
4.8,6.49736785888672
4.84,6.502989196777344
4.88,6.5086105346679695
4.92,6.514231872558594
4.96,6.519853210449219
5.0,6.525474548339844
5.04,6.397212219238281
5.08,6.268949890136719
5.12,6.140687561035156
5.16,6.012425231933594
5.2,5.884162902832031
5.24,5.685385131835938
5.28,5.486607360839844
5.32,5.28782958984375
5.36,5.089051818847656
5.4,4.8902740478515625
5.44,4.854503631591797
5.48,4.818733215332031
5.5200000000000005,4.782962799072266
5.5600000000000005,4.7471923828125
5.6000000000000005,4.711421966552734
5.64,4.675651550292968
5.68,4.639881134033202
5.72,4.604110717773437
5.76,4.568340301513671
5.8,4.532569885253905
5.84,4.694046020507812
5.88,4.855522155761718
5.92,5.016998291015625
5.96,5.178474426269531
6.0,5.3399505615234375
6.04,5.43448486328125
6.08,5.529019165039062
6.12,5.623553466796875
6.16,5.718087768554687
6.2,5.8126220703125
6.24,6.001182556152344
