window,dom_fre_gt,dom_fre_pre
1,0.15000000000000002,0.2
2,0.2,0.30000000000000004
3,0.15000000000000002,0.15000000000000002
4,0.25,0.35000000000000003
5,0.2,0.35000000000000003
6,0.25,0.25
7,0.2,0.2
8,0.30000000000000004,0.30000000000000004
9,0.15000000000000002,0.30000000000000004
10,0.30000000000000004,0.30000000000000004
11,0.30000000000000004,0.15000000000000002
12,0.30000000000000004,0.30000000000000004
13,0.15000000000000002,0.15000000000000002
14,0.15000000000000002,0.15000000000000002
15,0.2,0.2
16,0.2,0.2
17,0.30000000000000004,0.25
18,0.35000000000000003,0.2
19,0.15000000000000002,0.4
20,0.25,0.35000000000000003
21,0.30000000000000004,0.25
22,0.25,0.2
23,0.30000000000000004,0.15000000000000002
24,0.2,0.2
25,0.2,0.2
26,0.2,0.2
27,0.2,0.15000000000000002
28,0.15000000000000002,0.2
29,0.25,0.25
30,0.15000000000000002,0.30000000000000004
31,0.15000000000000002,0.35000000000000003
32,0.15000000000000002,0.25
33,0.15000000000000002,0.30000000000000004
34,0.15000000000000002,0.15000000000000002
35,0.25,0.25
36,0.30000000000000004,0.15000000000000002
