Frame,Mean_Pixel_Value
0,210.52619047619046
1,211.9047619047619
2,210.5948717948718
3,211.5151515151515
4,209.76969696969698
5,212.24025974025975
6,213.92424242424244
7,216.3025641025641
8,212.34
9,213.14141414141415
10,212.26060606060605
11,212.35777777777778
12,216.8738095238095
13,214.03030303030303
14,214.74761904761905
15,215.42640692640694
16,214.49777777777777
17,214.6
18,214.18253968253967
19,212.2949494949495
20,216.7900432900433
21,210.2989898989899
22,210.67592592592592
23,210.79761904761904
24,211.28787878787878
25,211.8095238095238
26,210.75974025974025
27,210.5064935064935
28,210.62337662337663
29,211.32251082251082
30,206.57792207792207
31,207.6147186147186
32,207.93722943722943
33,208.6883116883117
34,208.7770562770563
35,208.97402597402598
36,209.47186147186147
37,209.37445887445887
38,209.3095238095238
39,208.03729603729604
40,209.2900432900433
41,209.21428571428572
42,209.14718614718615
43,208.0
44,208.1818181818182
45,208.21212121212122
46,208.27972027972027
47,208.7226107226107
48,210.39826839826839
49,210.0888888888889
50,212.92323232323233
51,211.3212121212121
52,211.7943722943723
53,209.9848484848485
54,212.1103896103896
55,211.21333333333334
56,212.11904761904762
57,212.1547619047619
58,212.26904761904763
59,210.54112554112555
60,215.06709956709958
61,213.71428571428572
62,213.4547619047619
63,209.10714285714286
64,210.6060606060606
65,214.98333333333332
66,213.75541125541125
67,213.06666666666666
68,213.995670995671
69,210.83636363636364
70,213.15151515151516
71,209.29090909090908
72,210.08080808080808
73,210.4808080808081
74,215.35476190476192
75,212.0060606060606
76,207.26666666666668
77,210.33131313131312
78,211.92727272727274
79,213.0909090909091
80,208.4181818181818
81,213.3138528138528
82,213.83333333333334
83,211.59333333333333
84,208.9177777777778
85,210.4
86,212.63852813852813
87,213.0194805194805
88,213.5
89,210.02708333333334
90,210.72525252525253
91,205.7405303030303
92,210.52
93,208.46868686868686
94,213.6
95,211.96458333333334
96,213.26325757575756
97,211.765625
98,217.64242424242425
99,214.23674242424244
100,214.015625
101,213.87847222222223
102,213.67013888888889
103,212.86458333333334
104,218.84242424242424
105,217.73333333333332
106,215.73131313131313
107,215.16098484848484
108,218.79393939393938
109,218.40404040404042
110,217.3050505050505
111,216.4060606060606
112,212.88368055555554
113,212.98611111111111
114,212.06597222222223
115,211.75
116,211.5
117,210.55555555555554
118,215.09444444444443
119,217.70909090909092
120,217.94141414141413
121,218.02020202020202
122,218.3050505050505
123,218.26868686868687
124,217.87474747474747
125,217.63232323232324
126,217.65656565656565
127,217.59595959595958
128,218.02626262626262
129,217.73535353535354
130,216.62626262626262
131,216.43434343434345
132,215.96363636363637
133,216.2969696969697
134,216.2
135,215.56969696969696
136,214.09848484848484
137,220.47272727272727
138,216.43333333333334
139,213.88020833333334
140,213.62121212121212
141,215.35151515151514
142,213.58901515151516
143,216.4388888888889
144,214.8901515151515
145,215.0776515151515
146,214.14583333333334
147,214.26736111111111
148,214.25694444444446
149,214.01736111111111
150,213.80034722222223
151,213.87326388888889
152,215.389898989899
153,215.4462962962963
154,213.88888888888889
155,214.53333333333333
156,215.82777777777778
157,216.22222222222223
158,212.40277777777777
159,212.93923611111111
160,213.65451388888889
161,216.27083333333334
162,213.08506944444446
163,212.73784722222223
164,213.61666666666667
165,213.21851851851852
166,213.16493055555554
167,213.28298611111111
168,213.32986111111111
169,213.31944444444446
170,213.8740740740741
171,216.3050505050505
172,216.28080808080807
173,216.36363636363637
174,213.56666666666666
175,213.22222222222223
176,215.76161616161616
177,215.65719696969697
178,216.24810606060606
179,213.8388888888889
180,216.81010101010102
181,216.82222222222222
182,216.82222222222222
183,216.7070707070707
184,216.04848484848486
185,216.1090909090909
186,215.95757575757577
187,215.9090909090909
188,215.9939393939394
189,215.97575757575757
190,215.93939393939394
191,215.76969696969698
192,216.6060606060606
193,216.5939393939394
194,216.28484848484848
195,216.38181818181818
196,216.52121212121213
197,215.7030303030303
198,215.6848484848485
199,215.70909090909092
200,214.77575757575758
201,210.82037037037037
202,209.03148148148148
203,207.77592592592592
204,206.1
205,206.24814814814815
206,205.8537037037037
207,205.07777777777778
208,204.96666666666667
209,204.25555555555556
210,203.91666666666666
211,203.5425925925926
212,203.2111111111111
213,202.8111111111111
214,202.08703703703705
215,201.85185185185185
216,200.72962962962964
217,200.25
218,199.9462962962963
219,199.94814814814814
220,199.69444444444446
221,199.59074074074073
222,198.60555555555555
223,200.8925925925926
224,197.6769230769231
225,202.4462962962963
226,199.6909090909091
227,200.42857142857142
228,199.56296296296296
229,201.44074074074075
230,201.46481481481482
231,201.75
232,201.55555555555554
233,201.8925925925926
234,202.9111111111111
235,204.01296296296297
236,207.87070707070708
237,208.7111111111111
238,210.03030303030303
239,210.71919191919193
240,208.6060606060606
241,209.8388888888889
242,210.7010101010101
243,211.7314814814815
244,209.390625
245,209.55729166666666
246,209.54166666666666
247,209.890625
248,210.70138888888889
249,211.45555555555555
250,208.875
251,208.84375
252,209.90625
253,210.16145833333334
254,211.50641025641025
255,209.17043740573152
256,210.95032051282053
257,208.62745098039215
258,212.38020833333334
259,210.80929487179486
260,208.67948717948718
261,209.31410256410257
262,210.54326923076923
263,210.99839743589743
264,210.98784722222223
265,212.04006410256412
266,212.32051282051282
267,212.2323717948718
268,212.23878205128204
269,211.95673076923077
270,208.62594268476622
271,212.03685897435898
272,211.78685897435898
273,214.15798611111111
274,213.94965277777777
275,211.41185897435898
276,210.77564102564102
277,210.78044871794873
278,210.78044871794873
279,210.53685897435898
280,210.52243589743588
281,210.56410256410257
282,210.5625
283,210.53365384615384
284,210.98076923076923
285,211.1971153846154
286,210.81730769230768
287,210.12179487179486
288,209.2852564102564
289,213.2888888888889
290,211.92708333333334
291,212.75520833333334
292,213.59895833333334
293,211.77564102564102
294,215.04615384615386
295,217.71666666666667
296,214.27430555555554
297,217.11666666666667
298,214.94791666666666
299,214.20352564102564
300,216.796875
301,216.25868055555554
302,215.94270833333334
303,216.25
304,215.90686274509804
305,216.86979166666666
306,217.52651515151516
307,215.75378787878788
308,214.37575757575758
309,211.52727272727273
310,213.31628787878788
311,210.24479166666666
312,213.36666666666667
313,215.57575757575756
314,217.01818181818183
315,214.47537878787878
316,216.46666666666667
317,217.27878787878788
318,217.36969696969697
319,214.82222222222222
320,214.9037037037037
321,215.02777777777777
322,214.6949494949495
323,215.47272727272727
324,217.64242424242425
325,215.48263888888889
326,213.52083333333334
327,217.78598484848484
328,216.6114081996435
329,216.33823529411765
330,216.71301247771837
331,216.98529411764707
332,216.08333333333334
333,217.07407407407408
334,219.08333333333334
335,218.49074074074073
336,215.77207977207976
337,217.679012345679
338,214.80392156862746
339,215.63541666666666
340,214.70833333333334
341,213.328125
342,216.89962121212122
343,214.6969696969697
344,212.55492424242425
345,217.24791666666667
346,215.37777777777777
347,216.24848484848485
348,213.88020833333334
349,214.04924242424244
350,215.63636363636363
351,218.12878787878788
352,211.23333333333332
353,209.57109557109558
354,202.95555555555555
355,204.01190476190476
356,200.88690476190476
357,201.1904761904762
358,200.57142857142858
359,198.50992063492063
360,199.01785714285714
361,196.6611111111111
362,197.8388888888889
363,198.61851851851853
364,199.43576388888889
365,204.08928571428572
366,205.33939393939394
367,207.06666666666666
368,208.45
369,209.62777777777777
370,210.41666666666666
371,209.59375
372,212.64204545454547
373,212.6344696969697
374,213.42992424242425
375,212.01388888888889
376,214.49242424242425
377,214.26041666666666
378,211.48674242424244
379,214.3030303030303
380,215.2
381,213.85454545454544
382,213.96969696969697
383,216.03232323232322
384,213.61979166666666
385,215.69128787878788
386,215.8181818181818
387,216.21212121212122
388,216.71969696969697
389,215.43333333333334
390,214.796875
391,215.78787878787878
392,216.64772727272728
393,217.40104166666666
394,215.1421568627451
395,214.62745098039215
396,215.97743055555554
397,215.22638146167557
398,216.08159722222223
399,218.35416666666666
400,217.07638888888889
401,215.58823529411765
402,214.40522875816993
403,213.06184012066365
404,211.1342383107089
405,210.55957767722472
406,207.88725490196077
407,206.85294117647058
408,206.09313725490196
409,207.05929487179486
410,206.18429487179486
411,205.47115384615384
412,204.77403846153845
413,203.61378205128204
414,205.43055555555554
415,205.98958333333334
416,201.7993966817496
417,203.83823529411765
418,204.75
419,204.88541666666666
420,203.21241830065358
421,204.44618055555554
422,202.73856209150327
