window,dom_fre_gt,dom_fre_pre,mae_per_window,rmse_per_window,mean of MAE,mean of RMSE
1,0.30000000000000004,0.35000000000000003,0.04999999999999999,0.04999999999999999,0.02,0.02
2,0.25,0.25,0.0,0.0,0.02,0.02
3,0.25,0.25,0.0,0.0,0.02,0.02
4,0.30000000000000004,0.30000000000000004,0.0,0.0,0.02,0.02
5,0.25,0.25,0.0,0.0,0.02,0.02
6,0.30000000000000004,0.30000000000000004,0.0,0.0,0.02,0.02
7,0.35000000000000003,0.35000000000000003,0.0,0.0,0.02,0.02
8,0.25,0.2,0.04999999999999999,0.04999999999999999,0.02,0.02
9,0.25,0.25,0.0,0.0,0.02,0.02
10,0.25,0.25,0.0,0.0,0.02,0.02
11,0.25,0.25,0.0,0.0,0.02,0.02
12,0.25,0.25,0.0,0.0,0.02,0.02
13,0.30000000000000004,0.30000000000000004,0.0,0.0,0.02,0.02
14,0.25,0.35000000000000003,0.09999999999999998,0.09999999999999998,0.02,0.02
15,0.2,0.2,0.0,0.0,0.02,0.02
16,0.30000000000000004,0.30000000000000004,0.0,0.0,0.02,0.02
17,0.15000000000000002,0.2,0.05000000000000002,0.05000000000000002,0.02,0.02
18,0.15000000000000002,0.25,0.1,0.1,0.02,0.02
19,0.25,0.25,0.0,0.0,0.02,0.02
20,0.2,0.2,0.0,0.0,0.02,0.02
21,0.25,0.2,0.04999999999999999,0.04999999999999999,0.02,0.02
22,0.2,0.2,0.0,0.0,0.02,0.02
23,0.25,0.25,0.0,0.0,0.02,0.02
24,0.2,0.2,0.0,0.0,0.02,0.02
25,0.25,0.25,0.0,0.0,0.02,0.02
26,0.30000000000000004,0.30000000000000004,0.0,0.0,0.02,0.02
27,0.2,0.2,0.0,0.0,0.02,0.02
28,0.30000000000000004,0.2,0.09999999999999998,0.09999999999999998,0.02,0.02
29,0.2,0.2,0.0,0.0,0.02,0.02
30,0.15000000000000002,0.15000000000000002,0.0,0.0,0.02,0.02
31,0.30000000000000004,0.30000000000000004,0.0,0.0,0.02,0.02
32,0.15000000000000002,0.25,0.1,0.1,0.02,0.02
