Time(s),Force
0.0,6.216316223144531
0.04,6.202519226074219
0.08,6.188722229003906
0.12,6.174925231933594
0.16,6.161128234863281
0.2,6.147331237792969
0.24,6.165727233886719
0.28,6.184123229980469
0.32,6.2025192260742195
0.36,6.220915222167969
0.4,6.23931121826172
0.44,6.388011932373048
0.48,6.536712646484376
0.52,6.685413360595704
0.56,6.834114074707032
0.6,6.982814788818359
0.64,7.1315155029296875
0.68,7.280216217041016
0.72,7.428916931152344
0.76,7.577617645263672
0.8,7.726318359375
0.84,7.915388488769532
0.88,8.104458618164063
0.92,8.293528747558593
0.96,8.482598876953125
1.0,8.671669006347656
1.04,8.737588500976562
1.08,8.803507995605468
1.12,8.869427490234376
1.16,8.935346984863282
1.2,9.001266479492188
1.24,9.04444580078125
1.28,9.087625122070312
1.32,9.130804443359375
1.36,9.173983764648437
1.4000000000000001,9.2171630859375
1.44,9.260342407226563
1.48,9.303521728515625
1.52,9.346701049804688
1.56,9.38988037109375
1.6,9.433059692382812
1.6400000000000001,9.381959533691406
1.68,9.330859375
1.72,9.279759216308593
1.76,9.228659057617186
1.8,9.17755889892578
1.84,9.084556579589842
1.8800000000000001,8.991554260253904
1.92,8.898551940917967
1.96,8.80554962158203
2.0,8.712547302246092
2.04,8.536764526367186
2.08,8.36098175048828
2.12,8.185198974609374
2.16,8.009416198730468
2.2,7.833633422851562
2.24,7.638430786132812
2.2800000000000002,7.443228149414062
2.32,7.248025512695312
2.36,7.052822875976562
2.4,6.8576202392578125
2.44,6.75184326171875
2.48,6.646066284179687
2.52,6.540289306640625
2.56,6.434512329101563
2.6,6.3287353515625
2.64,6.333589935302735
2.68,6.338444519042969
2.72,6.343299102783203
2.7600000000000002,6.348153686523437
2.8000000000000003,6.353008270263672
2.84,6.357862854003907
2.88,6.3627174377441404
2.92,6.367572021484375
2.96,6.372426605224609
3.0,6.377281188964844
3.04,6.344577026367188
3.08,6.311872863769532
3.12,6.279168701171875
3.16,6.246464538574219
3.2,6.2137603759765625
3.24,6.165216064453125
3.2800000000000002,6.116671752929688
3.3200000000000003,6.06812744140625
3.36,6.019583129882813
3.4,5.971038818359375
3.44,5.995054626464844
3.48,6.019070434570313
3.52,6.043086242675781
3.56,6.0671020507812505
3.6,6.09111785888672
3.64,6.153204345703125
3.68,6.215290832519532
3.72,6.277377319335938
3.7600000000000002,6.339463806152344
3.8000000000000003,6.40155029296875
3.84,6.463636779785156
3.88,6.525723266601562
3.92,6.587809753417968
3.96,6.649896240234375
4.0,6.71198272705078
4.04,6.769215393066405
