window,dom_fre_gt,dom_fre_pre
1,0.30000000000000004,0.35000000000000003
2,0.25,0.25
3,0.25,0.25
4,0.30000000000000004,0.30000000000000004
5,0.25,0.25
6,0.30000000000000004,0.30000000000000004
7,0.35000000000000003,0.35000000000000003
8,0.25,0.2
9,0.25,0.25
10,0.25,0.25
11,0.25,0.25
12,0.25,0.25
13,0.30000000000000004,0.30000000000000004
14,0.25,0.35000000000000003
15,0.2,0.2
16,0.30000000000000004,0.30000000000000004
17,0.15000000000000002,0.2
18,0.15000000000000002,0.25
19,0.25,0.25
20,0.2,0.2
21,0.25,0.2
22,0.2,0.2
23,0.25,0.25
24,0.2,0.2
25,0.25,0.25
26,0.30000000000000004,0.30000000000000004
27,0.2,0.2
28,0.30000000000000004,0.2
29,0.2,0.2
30,0.15000000000000002,0.15000000000000002
31,0.30000000000000004,0.30000000000000004
32,0.15000000000000002,0.25
