Frame,Mean_Pixel_Value
0,200.78333333333333
1,207.10119047619048
2,204.62626262626262
3,204.22222222222223
4,205.0425925925926
5,204.01111111111112
6,205.0185185185185
7,206.359126984127
8,206.53333333333333
9,207.1888888888889
10,205.6425925925926
11,206.22222222222223
12,204.2
13,204.86666666666667
14,207.25454545454545
15,205.01414141414142
16,205.1030303030303
17,209.61688311688312
18,207.53737373737374
19,204.75757575757575
20,207.22828282828283
21,205.6040404040404
22,204.9939393939394
23,206.07676767676767
24,211.79761904761904
25,207.80555555555554
26,211.52121212121213
27,212.9090909090909
28,210.4
29,212.53333333333333
30,212.84242424242424
31,214.36969696969697
32,216.15151515151516
33,212.52777777777777
34,212.46969696969697
35,209.046875
36,210.52604166666666
37,212.46666666666667
38,214.84848484848484
39,212.74479166666666
40,211.79166666666666
41,216.58585858585857
42,217.96969696969697
43,211.859375
44,218.33333333333334
45,213.17992424242425
46,215.6240740740741
47,213.95833333333334
48,210.98784722222223
49,211.59548611111111
50,217.13535353535354
51,215.3574074074074
52,210.78993055555554
53,210.52256944444446
54,210.41145833333334
55,211.42534722222223
56,213.32986111111111
57,212.03472222222223
58,215.51666666666668
59,210.65972222222223
60,210.69444444444446
61,210.66840277777777
62,210.66145833333334
63,210.13715277777777
64,215.48703703703703
65,213.70925925925926
66,212.03472222222223
67,216.2
68,213.99444444444444
69,211.7111111111111
70,205.71153846153845
71,205.73958333333334
72,209.7925925925926
73,206.54529914529914
74,204.8905982905983
75,203.90769230769232
76,202.71354166666666
77,201.93576388888889
78,201.58159722222223
79,205.71666666666667
80,203.52991452991452
81,202.42962962962963
82,200.57777777777778
83,202.02407407407406
84,201.95
85,202.84273504273503
86,198.69270833333334
87,201.06666666666666
88,202.34074074074073
89,202.5462962962963
90,199.80902777777777
91,201.34444444444443
92,201.4611111111111
93,200.11282051282052
94,200.35555555555555
95,202.57142857142858
96,203.74007936507937
97,202.5218253968254
98,200.72592592592594
99,204.25198412698413
100,204.25
101,201.5793650793651
102,201.78333333333333
103,201.3
104,204.6547619047619
105,202.78333333333333
106,208.03571428571428
107,206.41666666666666
108,208.13939393939393
109,209.5297619047619
110,212.4047619047619
111,214.30519480519482
112,213.27380952380952
113,209.22222222222223
114,209.52592592592592
115,212.1757575757576
116,209.2722222222222
117,212.7919191919192
118,212.57575757575756
119,212.77575757575758
120,212.2020202020202
121,211.5131313131313
122,210.82222222222222
123,215.92424242424244
124,214.19246031746033
125,212.36111111111111
126,217.16233766233765
127,217.23593073593074
128,213.63232323232324
129,213.97979797979798
130,214.74343434343433
131,214.8181818181818
132,210.4280303030303
133,215.4181818181818
134,213.3276515151515
135,213.82575757575756
136,213.47537878787878
137,211.27777777777777
138,215.15757575757576
139,215.56969696969696
140,215.63030303030303
141,215.0969696969697
142,214.08333333333334
143,215.84848484848484
144,212.2310606060606
145,214.26666666666668
146,212.61742424242425
147,215.3272727272727
148,214.2969696969697
149,212.5151515151515
150,215.33333333333334
151,214.32007575757575
152,212.97395833333334
153,213.12878787878788
154,212.03125
155,214.5094696969697
156,214.52651515151516
157,214.30492424242425
158,213.703125
159,213.66666666666666
160,213.578125
161,213.56770833333334
162,213.5625
163,213.55729166666666
164,213.57291666666666
165,214.43939393939394
166,214.40151515151516
167,214.3844696969697
168,214.86174242424244
169,214.86174242424244
170,214.80492424242425
171,215.00378787878788
172,210.92708333333334
173,210.96354166666666
174,211.03993055555554
175,211.05729166666666
176,213.43560606060606
177,215.60037878787878
178,214.8276515151515
179,211.83854166666666
180,211.20833333333334
181,210.46875
182,210.44128787878788
183,205.453125
184,205.48717948717947
185,207.984375
186,206.38020833333334
187,209.56666666666666
188,208.59444444444443
189,207.4388888888889
190,206.97222222222223
191,206.87777777777777
192,206.13333333333333
193,205.89444444444445
194,205.94444444444446
195,205.91666666666666
196,206.0888888888889
197,206.29814814814816
198,202.89236111111111
199,204.45641025641027
200,202.72756410256412
201,200.60935143288086
202,202.46455505279036
203,205.24479166666666
204,203.27083333333334
205,204.57852564102564
206,206.49814814814815
207,202.78365384615384
208,203.78645833333334
209,204.26041666666666
210,206.46481481481482
211,205.234375
212,207.94791666666666
213,208.265625
214,209.45833333333334
215,212.6727272727273
216,209.17222222222222
217,212.01818181818183
218,208.67777777777778
219,207.21969696969697
220,209.93939393939394
221,209.51111111111112
222,209.5090909090909
223,210.03030303030303
224,210.4909090909091
225,209.71969696969697
226,213.0909090909091
227,213.38181818181818
228,210.9810606060606
229,210.37222222222223
230,213.63030303030303
231,212.1030303030303
232,211.04924242424244
233,212.02651515151516
234,210.83333333333334
235,211.73674242424244
236,214.53939393939393
237,212.5151515151515
238,213.3560606060606
239,213.2310606060606
240,211.81060606060606
241,212.80392156862746
242,213.890625
243,214.66145833333334
244,214.05882352941177
245,212.1421568627451
246,213.02941176470588
247,213.64705882352942
248,214.75044563279857
249,211.84803921568627
250,210.0648148148148
251,214.16666666666666
252,213.69117647058823
253,213.34313725490196
254,212.10294117647058
255,211.5233785822021
256,212.25925925925927
257,211.39316239316238
258,213.67269984917044
259,210.34188034188034
260,210.07541478129713
261,208.38763197586727
262,207.30618401206635
263,206.84593837535013
264,207.61387631975867
265,206.4059829059829
266,203.24603174603175
267,203.04761904761904
268,202.6931216931217
269,206.33333333333334
270,205.526395173454
271,204.58220211161387
272,202.3760683760684
273,204.39668174962293
274,203.8019943019943
275,203.6239316239316
276,202.6196581196581
277,204.8446455505279
278,204.06184012066365
279,203.83710407239818
280,203.63046757164403
281,204.03770739064856
282,203.92458521870287
283,200.8129713423831
284,202.0603318250377
285,202.09653092006033
286,202.33333333333334
287,201.76772247360483
288,200.85470085470087
289,204.2156862745098
290,206.0211161387632
291,208.52604166666666
292,207.01206636500754
293,209.87847222222223
294,208.3107088989442
295,209.1813725490196
296,208.54147812971343
297,207.55957767722472
298,210.5686274509804
299,210.8921568627451
300,208.46907993966818
301,207.88084464555052
302,206.57315233785823
303,206.44645550527903
304,207.39285714285714
305,203.70277777777778
306,205.0031746031746
307,195.9375
308,193.4562962962963
309,202.54603174603176
310,190.0248366013072
311,190.0560224089636
312,191.06013071895424
313,184.63756613756613
314,184.6575163398693
315,189.203081232493
316,190.17797888386124
317,181.97759103641457
318,190.9291101055807
319,190.43589743589743
320,187.50420168067228
321,189.56349206349208
322,194.7703081232493
323,191.06274509803922
324,197.00446428571428
325,187.67581699346405
326,198.92083333333332
327,201.64
328,196.28255208333334
329,212.77301587301588
330,213.98363095238096
331,212.34821428571428
332,210.08295625942685
333,212.70833333333334
334,210.00160256410257
335,206.65912518853696
336,208.49198717948718
337,205.14328808446456
338,206.2323717948718
339,205.98958333333334
340,205.36698717948718
341,206.64583333333334
342,202.4823717948718
343,204.09134615384616
344,203.58333333333334
345,203.05208333333334
346,204.53645833333334
347,200.32852564102564
348,199.06184012066365
349,203.61979166666666
350,203.484375
351,203.17708333333334
352,203.27083333333334
353,202.71875
354,202.125
355,200.26998491704373
356,200.39668174962293
357,202.09294871794873
358,202.16506410256412
359,199.85369532428356
360,200.92948717948718
361,201.13141025641025
362,201.40064102564102
363,201.93910256410257
364,201.3653846153846
365,201.56891025641025
366,201.27083333333334
367,201.45352564102564
368,205.65625
369,206.97743055555554
370,204.50641025641025
371,209.22395833333334
372,208.07852564102564
373,208.50980392156862
374,210.10416666666666
375,206.1421568627451
376,208.77450980392157
377,210.1813725490196
378,209.44607843137254
379,210.46354166666666
380,208.2941176470588
381,208.94117647058823
382,211.7651515151515
383,209.88020833333334
384,210.13020833333334
385,208.01041666666666
386,209.09803921568627
387,209.86274509803923
388,209.15196078431373
389,207.65196078431373
390,211.68627450980392
391,208.6851851851852
392,208.1851851851852
393,207.06410256410257
394,210.1078431372549
395,209.62745098039215
396,208.9894419306184
397,209.0
398,211.77941176470588
399,213.62310606060606
400,207.80392156862746
401,211.14705882352942
402,210.4607843137255
403,210.24019607843138
404,210.2107843137255
405,210.12254901960785
406,209.05392156862746
407,208.77941176470588
408,210.04374057315235
409,210.36953242835597
410,210.0844645550528
411,209.49622926093514
412,209.4494720965309
413,211.38763197586727
414,211.95098039215685
415,211.88725490196077
416,211.87745098039215
417,211.79901960784315
418,210.6184012066365
419,210.4264705882353
420,209.1951566951567
421,209.85897435897436
422,212.32843137254903
423,209.00754147812972
424,207.72222222222223
425,207.73504273504273
426,209.6003016591252
427,211.33333333333334
428,208.7496229260935
429,207.15384615384616
430,209.23831070889895
431,209.4600301659125
432,209.9957264957265
433,209.64529914529913
434,212.5052790346908
435,211.36500754147812
436,210.69079939668174
437,208.52661064425772
438,209.37114845938376
439,207.97619047619048
440,209.10256410256412
441,208.13876319758674
442,207.66365007541478
443,209.02564102564102
444,207.473604826546
445,206.76636904761904
446,206.61458333333334
447,207.19494047619048
448,205.57767722473605
449,204.00980392156862
450,204.6778711484594
451,204.34690799396682
452,203.77677224736047
453,203.4173669467787
454,202.69079939668174
455,201.45299145299145
