Time,Force
0.0,9.433059692382812
0.041638396299151885,9.433058510620777
0.08327679259830377,9.43305732885874
0.12491518889745565,9.433056147096703
0.16655358519660754,9.433054965334666
0.20819198149575943,9.43305378357263
0.2498303777949113,9.433052601810594
0.2914687740940632,9.433051420048557
0.3331071703932151,9.433050238286521
0.37474556669236697,9.433049056524483
0.41638396299151886,9.433047874762448
0.45802235929067076,9.433046693000412
0.4996607555898226,9.433045511238374
0.5412991518889745,9.433044329476338
0.5829375481881264,9.4330431477143
0.6245759444872783,9.433041965952265
0.6662143407864302,9.43304078419023
0.707852737085582,9.433039602428192
0.7494911333847339,9.433038420666156
0.7911295296838858,9.433037238904118
0.8327679259830377,9.433036057142083
0.8744063222821896,9.433034875380047
0.9160447185813415,9.43303369361801
0.9576831148804934,9.433032511855973
0.9993215111796452,9.433031330093936
1.0409599074787972,9.4330301483319
1.082598303777949,9.433028966569864
1.124236700077101,9.433027784807827
1.1658750963762528,9.433026603045791
1.2075134926754048,9.433025421283753
1.2491518889745565,9.433024239521718
1.2907902852737085,9.433023057759682
1.3324286815728603,9.433021875997644
1.374067077872012,9.433020694235609
1.415705474171164,9.433019512473571
1.4573438704703159,9.433018330711535
1.4989822667694679,9.4330171489495
1.5406206630686197,9.433015967187462
1.5822590593677717,9.433014785425426
1.6238974556669235,9.43301360366339
1.6655358519660755,9.433012421901353
1.7071742482652272,9.433011240139317
1.7488126445643792,9.43301005837728
1.790451040863531,9.433008876615244
1.832089437162683,9.433007694853208
1.8737278334618348,9.43300651309117
1.9153662297609868,9.433005331329134
1.9570046260601386,9.433004149567097
1.9986430223592904,9.433002967805061
2.0402814186584424,9.433001786043025
2.0819198149575944,9.433000604280988
2.123558211256746,9.432999422518952
2.165196607555898,9.432998240756914
2.20683500385505,9.432997058994879
2.248473400154202,9.432995877232843
2.2901117964533535,9.432994695470805
2.3317501927525055,9.43299351370877
2.3733885890516575,9.432992331946732
2.4150269853508095,9.432991150184696
