Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm)
0,8.4774932861328125,4.8231511116027832
0.050000000000000003,8.5209274291992188,
0.10000000000000001,8.5515823364257812,
0.14999999999999999,8.5388107299804688,
0.20000000000000001,8.5311431884765625,
0.25,8.4979324340820312,
0.29999999999999999,8.4749374389648438,
0.34999999999999998,8.4877090454101562,
0.40000000000000002,8.4928207397460938,
0.45000000000000001,8.4979324340820312,
0.5,8.5515823364257812,
0.55000000000000004,8.6077957153320312,
0.59999999999999998,8.73809814453125,
0.65000000000000002,8.8351898193359375,
0.69999999999999996,8.9859390258789062,
0.75,9.10601806640625,
0.80000000000000004,9.2848739624023438,
0.84999999999999998,9.392181396484375,
0.90000000000000002,9.5224838256835938,
0.94999999999999996,9.576141357421875,
1,9.6630096435546875,
1.05,9.7345504760742188,
1.1000000000000001,9.8367538452148438,
1.1499999999999999,9.8980712890625,
1.2,9.9823837280273438,
1.25,10.046257019042969,
1.3,10.133132934570312,
1.3500000000000001,10.197006225585938,
1.3999999999999999,10.281318664550781,
1.45,10.317092895507812,
1.5,10.340087890625,
1.55,10.380966186523438,
1.6000000000000001,10.416732788085938,
1.6499999999999999,10.442283630371094,
1.7,10.424400329589844,
1.75,10.352859497070312,
1.8,10.294097900390625,
1.8500000000000001,10.232772827148438,
1.8999999999999999,10.20977783203125,
1.95,10.168899536132812,
2,10.130577087402344,
2.0499999999999998,10.036041259765625,
2.1000000000000001,9.9491729736328125,
2.1499999999999999,9.795867919921875,
2.2000000000000002,9.6732330322265625,
2.25,9.3972930908203125,
2.2999999999999998,9.1213531494140625,
2.3500000000000001,8.582244873046875,
2.3999999999999999,8.1121292114257812,
2.4500000000000002,7.5934600830078125,
2.5,6.9240493774414062,
2.5499999999999998,6.614898681640625,
2.6000000000000001,6.1830978393554688,
2.6499999999999999,5.7819671630859375,
2.7000000000000002,5.122772216796875,
2.75,4.811065673828125,
2.7999999999999998,4.683319091796875,
2.8500000000000001,4.6935348510742188,
2.8999999999999999,4.6219940185546875,
2.9500000000000002,4.591339111328125,
3,4.6322174072265625,
3.0499999999999998,4.7420806884765625,
3.1000000000000001,4.977142333984375,
3.1499999999999999,4.9975814819335938,
3.2000000000000002,4.938812255859375,
3.25,4.9618072509765625,
3.2999999999999998,4.8570556640625,
3.3500000000000001,4.7727432250976562,
3.3999999999999999,4.8238372802734375,
3.4500000000000002,5.051239013671875,
3.5,5.3118438720703125,
3.5499999999999998,5.7998504638671875,
3.6000000000000001,6.0706787109375,
3.6499999999999999,6.466705322265625,
3.7000000000000002,6.668548583984375,
3.75,6.7860794067382812,
3.7999999999999998,6.9240493774414062,
3.8500000000000001,7.0236968994140625,
3.8999999999999999,6.9189376831054688,
3.9500000000000002,6.93682861328125,
4,7.184661865234375,
4.0499999999999998,7.2434234619140625,
4.0999999999999996,7.184661865234375,
4.1500000000000004,7.1361160278320312,
4.2000000000000002,7.074798583984375,
4.25,7.02880859375,
4.2999999999999998,6.97259521484375,
4.3499999999999996,6.9572677612304688,
4.4000000000000004,6.9623794555664062,
4.4500000000000002,6.93682861328125,
4.5,6.8780593872070312,
4.5499999999999998,6.8039627075195312,
4.5999999999999996,6.7911911010742188,
4.6500000000000004,6.7222061157226562,
4.7000000000000002,6.6455535888671875,
4.75,6.5382461547851562,
4.7999999999999998,6.4973678588867188,
4.8499999999999996,6.484588623046875,
4.9000000000000004,6.49481201171875,
4.9500000000000002,6.56890869140625,
5,6.5254745483398438,
5.0499999999999998,6.226531982421875,
5.0999999999999996,6.0374679565429688,
5.1500000000000004,5.914825439453125,
5.2000000000000002,5.8841629028320312,
5.25,5.8254013061523438,
5.2999999999999998,5.6925430297851562,
5.3499999999999996,5.2377471923828125,
5.4000000000000004,4.8902740478515625,
5.4500000000000002,4.6603240966796875,
5.5,4.5581207275390625,
5.5499999999999998,4.5427932739257812,
5.5999999999999996,4.4814682006835938,
