window,dom_fre_gt,dom_fre_pre
1,0.2,0.15000000000000002
2,0.2,0.15000000000000002
3,0.2,0.15000000000000002
4,0.25,0.15000000000000002
5,0.2,0.15000000000000002
6,0.2,0.15000000000000002
7,0.2,0.15000000000000002
8,0.2,0.15000000000000002
9,0.15000000000000002,0.15000000000000002
10,0.30000000000000004,0.15000000000000002
11,0.15000000000000002,0.15000000000000002
12,0.30000000000000004,0.15000000000000002
13,0.15000000000000002,0.15000000000000002
14,0.35000000000000003,0.15000000000000002
15,0.2,0.15000000000000002
16,0.2,0.15000000000000002
17,0.30000000000000004,0.15000000000000002
18,0.2,0.15000000000000002
19,0.15000000000000002,0.15000000000000002
20,0.15000000000000002,0.15000000000000002
21,0.25,0.15000000000000002
22,0.2,0.15000000000000002
23,0.30000000000000004,0.15000000000000002
24,0.2,0.15000000000000002
25,0.2,0.15000000000000002
26,0.2,0.15000000000000002
27,0.2,0.15000000000000002
28,0.15000000000000002,0.15000000000000002
29,0.25,0.15000000000000002
30,0.2,0.15000000000000002
31,0.15000000000000002,0.15000000000000002
32,0.15000000000000002,0.15000000000000002
33,0.2,0.15000000000000002
34,0.35000000000000003,0.15000000000000002
35,0.25,0.15000000000000002
36,0.15000000000000002,0.15000000000000002
